OID_,cat_ID_txt,FType,AwcHuc12_wtd_lake_area_sqm,AwcHuc12_wtd_lake_per,region,cat_ID,cat_ID_con
689,75000200016525,390,585790.510167294414714,0.257757268536331,Cook_Inlet,75000200016525,Cook_Inlet_75000200016525
690,75000200016891,390,1719820.768682148074731,1.278632707682296,Cook_Inlet,75000200016891,Cook_Inlet_75000200016891
691,75000200017839,390,108593.896688680688385,0.248427700494945,Cook_Inlet,75000200017839,Cook_Inlet_75000200017839
692,75000200017924,390,1013292.164585565566085,0.637205808824486,Cook_Inlet,75000200017924,Cook_Inlet_75000200017924
693,75000200018133,390,358646.448638913047034,0.614334437892907,Cook_Inlet,75000200018133,Cook_Inlet_75000200018133
694,75000200018431,390,4968964.042420739308000,4.354158015064099,Cook_Inlet,75000200018431,Cook_Inlet_75000200018431
695,75000200018499,390,2738694.517674583010375,2.544228331643814,Cook_Inlet,75000200018499,Cook_Inlet_75000200018499
696,75000200018577,390,2272208.319715633057058,2.645176178819276,Cook_Inlet,75000200018577,Cook_Inlet_75000200018577
697,75000200018582,390,26643247.106892354786396,3.384668685745985,Cook_Inlet,75000200018582,Cook_Inlet_75000200018582
698,75000200018743,390,2998111.217413882259279,3.665765296287618,Cook_Inlet,75000200018743,Cook_Inlet_75000200018743
699,75000200018778,390,3003103.506731011904776,0.714157325679100,Cook_Inlet,75000200018778,Cook_Inlet_75000200018778
700,75000300000174,390,14817920.988365463912487,0.454435411284489,Cook_Inlet,75000300000174,Cook_Inlet_75000300000174
